Overall Rank,Overall Score,Size (acres),Town,Rightmove url,Price,Size (sq ft),£ per 1000 Sq Ft,Price Score,Price Rank,Competition Total,Competition Score,Competition Rank,Population Total,Population Score,Population Rank,Income Average,Income Score,Income Rank,Traffic Total,Traffic Score,Traffic Rank
481,49.75,0.68,RG14 1JX,https://www.rightmove.co.uk/properties/160162673,"£1,250,000","29,621 sq ft",42199.79,19.62,829,13,19.34,457,380465,1.92,345,16900.00,8.69,501,1488,0.18,674
482,49.75,0.80,BN27 4JL,https://www.rightmove.co.uk/properties/152609858,"£1,175,000","34,848 sq ft",33717.86,19.70,822,11,19.44,403,153695,0.78,552,17175.00,8.83,468,8235,1.00,352
483,49.74,289.07,CB2 9LD,https://www.rightmove.co.uk/properties/162277133,"£2,750,000","12,591,889 sq ft",218.39,20.00,601,5,19.74,177,64030,0.32,752,18700.00,9.61,334,509,0.06,820
484,49.73,0.00,CB7 4NP,https://www.rightmove.co.uk/properties/162653801,Sale by Tender,Ask agent,0.00,20.00,1,8,19.59,273,88115,0.44,672,17400.00,8.95,443,6185,0.75,428
485,49.73,0.08,W1G 0JD,https://www.rightmove.co.uk/properties/154582001,"£1,650,000","3,680 sq ft",448369.57,15.99,968,182,10.71,959,1789117,9.03,64,19846.15,10.20,244,31132,3.79,58
486,49.70,5.00,Covering Chester,https://www.rightmove.co.uk/properties/153182615,"£1,000,000","217,800 sq ft",4591.37,19.96,710,8,19.59,273,94850,0.48,653,16650.00,8.56,529,9109,1.11,329
487,49.68,1.00,IP30 9QN,https://www.rightmove.co.uk/properties/155367005,"£1,200,000","43,560 sq ft",27548.21,19.75,809,2,19.90,84,11070,0.06,922,16900.00,8.69,501,10548,1.28,290
488,49.67,0.93,W1U 8AN,https://www.rightmove.co.uk/properties/141838067,"£17,000,000","40,581 sq ft",418915.26,16.26,967,30,18.47,772,478235,2.41,281,20628.57,10.61,171,15866,1.93,171
489,49.67,0.00,EX1 1PR,https://www.rightmove.co.uk/properties/157590053,"£6,100,000",Ask agent,0.00,20.00,1,5,19.74,177,41230,0.21,812,18900.00,9.72,325,33,0.00,993
489,49.67,0.00,EX1 1PR,https://www.rightmove.co.uk/properties/157590083,"£1,180,000",Ask agent,0.00,20.00,1,5,19.74,177,41230,0.21,812,18900.00,9.72,325,33,0.00,993
491,49.66,4.61,NN16 8NN,https://www.rightmove.co.uk/properties/138133709,"£1,500,000","200,681 sq ft",7474.55,19.93,728,10,19.49,363,142710,0.72,573,16200.00,8.33,553,9789,1.19,316
492,49.65,4.06,LS1 5JL,https://www.rightmove.co.uk/properties/160343522,POA,"176,854 sq ft",0.00,20.00,1,16,19.18,553,459400,2.32,304,12271.43,6.31,787,15155,1.84,188
493,49.65,0.00,NE28 9NY,https://www.rightmove.co.uk/properties/161892569,"£1,200,000",Ask agent,0.00,20.00,1,37,18.11,831,244970,1.24,440,13380.00,6.88,742,28116,3.42,70
494,49.64,7.80,CO10 9JG,https://www.rightmove.co.uk/properties/150489929,"£1,645,000","339,768 sq ft",4841.54,19.96,714,8,19.59,273,40665,0.21,817,18766.67,9.65,332,1930,0.23,638
495,49.63,0.14,N13 4TN,https://www.rightmove.co.uk/properties/159609284,"£3,250,000","5,895 sq ft",551314.67,15.07,976,355,1.89,993,3807522,19.21,2,18840.00,9.69,330,30973,3.77,61
496,49.62,0.26,TW2 7LT,https://www.rightmove.co.uk/properties/157752926,"£1,950,000","11,146 sq ft",174950.65,18.44,905,50,17.45,876,665866,3.36,194,20075.00,10.32,221,444,0.05,837
497,49.61,0.65,M2 5GP,https://www.rightmove.co.uk/properties/86504181,"£1,200,000","28,457 sq ft",42168.89,19.62,828,16,19.18,553,431625,2.18,318,16200.00,8.33,553,2423,0.29,601
498,49.60,0.00,RG1 1QB,https://www.rightmove.co.uk/properties/140924405,"£1,170,000",Ask agent,0.00,20.00,1,22,18.88,688,339880,1.72,367,17300.00,8.89,452,931,0.11,749
499,49.60,0.51,SE3 8XA,https://www.rightmove.co.uk/properties/136780877,"£1,750,000","22,216 sq ft",78772.06,19.30,861,51,17.40,878,789437,3.98,159,16955.56,8.72,497,1686,0.21,652
500,49.59,100.69,LN6 3LH,https://www.rightmove.co.uk/properties/162008330,"£1,175,000","4,386,056 sq ft",267.89,20.00,631,9,19.54,315,56890,0.29,767,15850.00,8.15,568,13277,1.62,228
